# x_m;y_m
183.0000;153.0000
183.0000;155.0000
183.0000;323.0000
183.0000;327.0000
183.0000;333.0000
185.0000;7.0000
185.0000;13.0000
185.0000;63.0000
185.0000;337.0000
185.0000;339.0000
185.0000;355.0000
187.0000;7.0000
187.0000;9.0000
187.0000;15.0000
187.0000;17.0000
187.0000;21.0000
187.0000;31.0000
187.0000;65.0000
187.0000;67.0000
187.0000;155.0000
187.0000;331.0000
187.0000;333.0000
187.0000;341.0000
187.0000;347.0000
187.0000;349.0000
187.0000;353.0000
187.0000;357.0000
187.0000;359.0000
189.0000;9.0000
189.0000;19.0000
189.0000;21.0000
189.0000;23.0000
189.0000;29.0000
189.0000;65.0000
189.0000;151.0000
189.0000;355.0000
191.0000;13.0000
191.0000;21.0000
191.0000;23.0000
191.0000;27.0000
191.0000;29.0000
191.0000;31.0000
191.0000;65.0000
191.0000;355.0000
191.0000;357.0000
193.0000;9.0000
193.0000;23.0000
193.0000;25.0000
193.0000;67.0000
193.0000;151.0000
193.0000;351.0000
193.0000;357.0000
195.0000;15.0000
195.0000;337.0000
195.0000;343.0000
195.0000;353.0000
197.0000;15.0000
197.0000;17.0000
197.0000;71.0000
197.0000;151.0000
197.0000;153.0000
197.0000;155.0000
197.0000;329.0000
197.0000;339.0000
197.0000;343.0000
197.0000;345.0000
199.0000;69.0000
199.0000;71.0000
199.0000;73.0000
199.0000;153.0000
199.0000;331.0000
199.0000;339.0000
201.0000;17.0000
201.0000;75.0000
201.0000;77.0000
201.0000;155.0000
201.0000;325.0000
203.0000;17.0000
203.0000;31.0000
203.0000;33.0000
203.0000;153.0000
203.0000;155.0000
205.0000;29.0000
205.0000;77.0000
205.0000;153.0000
205.0000;155.0000
207.0000;23.0000
207.0000;37.0000
207.0000;321.0000
207.0000;323.0000
209.0000;81.0000
209.0000;153.0000
209.0000;155.0000
209.0000;321.0000
209.0000;323.0000
211.0000;81.0000
213.0000;33.0000
213.0000;153.0000
213.0000;155.0000
215.0000;87.0000
215.0000;325.0000
215.0000;327.0000
217.0000;31.0000
217.0000;87.0000
219.0000;155.0000
221.0000;89.0000
221.0000;93.0000
223.0000;23.0000
223.0000;27.0000
223.0000;91.0000
223.0000;95.0000
223.0000;101.0000
223.0000;103.0000
223.0000;107.0000
223.0000;109.0000
223.0000;155.0000
223.0000;157.0000
223.0000;331.0000
225.0000;23.0000
225.0000;99.0000
225.0000;107.0000
225.0000;109.0000
225.0000;331.0000
227.0000;15.0000
227.0000;17.0000
227.0000;21.0000
227.0000;111.0000
227.0000;115.0000
227.0000;157.0000
229.0000;11.0000
229.0000;13.0000
229.0000;17.0000
229.0000;19.0000
229.0000;111.0000
229.0000;117.0000
229.0000;153.0000
231.0000;11.0000
231.0000;15.0000
231.0000;323.0000
233.0000;11.0000
233.0000;13.0000
233.0000;323.0000
235.0000;11.0000
235.0000;13.0000
235.0000;155.0000
235.0000;317.0000
235.0000;321.0000
235.0000;323.0000
237.0000;9.0000
237.0000;109.0000
237.0000;317.0000
237.0000;319.0000
239.0000;153.0000
239.0000;319.0000
241.0000;5.0000
241.0000;7.0000
241.0000;11.0000
241.0000;111.0000
241.0000;315.0000
243.0000;-11.0000
243.0000;-9.0000
243.0000;-1.0000
243.0000;1.0000
243.0000;5.0000
243.0000;7.0000
243.0000;109.0000
243.0000;139.0000
243.0000;141.0000
243.0000;315.0000
243.0000;317.0000
245.0000;-15.0000
245.0000;-13.0000
245.0000;-1.0000
245.0000;107.0000
245.0000;139.0000
245.0000;143.0000
245.0000;315.0000
245.0000;317.0000
247.0000;315.0000
247.0000;317.0000
