# x_m,y_m,w_tr_right_m,w_tr_left_m
-47.3375,174.3352,0.7735,0.7735
-47.3375,174.3997,0.7735,0.7735
-47.3375,174.4642,0.7735,0.7735
-47.3375,174.5286,0.7735,0.7735
-47.3375,174.5931,0.7735,0.7735
-47.3375,174.6575,0.7735,0.7735
-47.3375,174.7220,0.7735,0.7735
-47.3375,174.7865,0.7735,0.7735
-47.3375,174.8509,0.7735,0.7735
-47.3375,174.9154,0.7735,0.7735
-47.3375,174.9798,0.7735,0.7735
-47.2730,175.0443,0.8380,0.8380
-47.2730,175.1088,0.8380,0.8380
-47.2730,175.1732,0.8380,0.8380
-47.2730,175.2377,0.8380,0.8380
-47.2085,175.3021,0.8380,0.8380
-47.2085,175.3666,0.8380,0.8380
-47.2085,175.4311,0.8380,0.8380
-47.2085,175.4955,0.8154,0.8154
-47.2085,175.5600,0.7973,0.7973
-47.2085,175.6244,0.7842,0.7842
-47.2085,175.6889,0.7762,0.7762
-47.2085,175.7534,0.7735,0.7735
-47.2085,175.8178,0.7735,0.7735
-47.2085,175.8823,0.7735,0.7735
-47.2085,175.9467,0.7735,0.7735
-47.2085,176.0112,0.7735,0.7735
-47.2085,176.0757,0.7735,0.7735
-47.2085,176.1401,0.7735,0.7735
-47.2085,176.2046,0.7735,0.7735
-47.2085,176.2690,0.7735,0.7735
-47.2085,176.3335,0.7735,0.7735
-47.2085,176.3980,0.7735,0.7735
-47.2085,176.4624,0.7735,0.7735
-47.2085,176.5269,0.7735,0.7735
-47.2085,176.5913,0.7735,0.7735
-47.2085,176.6558,0.7735,0.7735
-47.2085,176.7203,0.7735,0.7735
-47.1441,176.7847,0.8380,0.8380
-47.1441,176.8492,0.8380,0.8380
-47.1441,176.9136,0.8380,0.8380
-47.1441,176.9781,0.8380,0.8380
-47.0796,177.0426,0.8380,0.8380
-47.0796,177.1070,0.8380,0.8380
-47.0796,177.1715,0.8380,0.8380
-47.0796,177.2359,0.8380,0.8380
-47.0796,177.3004,0.8380,0.8380
