# x_m,y_m,w_tr_right_m,w_tr_left_m
31.4931,40.1369,1.0208,1.0208
31.4261,40.2040,1.0597,1.0597
31.3591,40.2040,1.0404,1.0404
31.2921,40.2040,1.0208,1.0208
31.2250,40.2040,0.9963,0.9963
31.1580,40.2040,0.9758,0.9758
31.0910,40.2710,1.0208,1.0208
31.0240,40.2710,0.9963,0.9963
30.9570,40.2710,0.9758,0.9758
30.8899,40.2710,0.9596,0.9596
30.8229,40.2710,0.9478,0.9478
30.7559,40.2710,0.9407,0.9407
30.6889,40.3380,1.0053,1.0053
30.6219,40.3380,1.0053,1.0053
30.5548,40.3380,1.0053,1.0053
30.4878,40.3380,1.0053,1.0053
30.4208,40.3380,1.0053,1.0053
30.3538,40.3380,1.0053,1.0053
30.2868,40.3380,1.0053,1.0053
30.2197,40.3380,1.0053,1.0053
30.1527,40.4050,1.0723,1.0723
30.0857,40.4050,1.0723,1.0723
30.0187,40.4050,1.0723,1.0723
29.9517,40.4050,1.0723,1.0723
29.8846,40.4050,1.0723,1.0723
29.8176,40.4050,1.0723,1.0723
29.7506,40.3380,1.0053,1.0053
29.6836,40.3380,1.0053,1.0053
29.6166,40.3380,1.0053,1.0053
29.5495,40.3380,1.0053,1.0053
29.4825,40.3380,1.0053,1.0053
29.4155,40.3380,1.0053,1.0053
29.3485,40.3380,1.0053,1.0053
29.2815,40.3380,1.0075,1.0075
29.2144,40.3380,1.0142,1.0142
29.1474,40.3380,1.0252,1.0252
29.0804,40.3380,1.0404,1.0404
29.0134,40.3380,1.0597,1.0597
28.9464,40.3380,1.0723,1.0723
28.8793,40.2710,1.0053,1.0053
28.8123,40.2710,1.0075,1.0075
28.7453,40.2710,1.0142,1.0142
28.6783,40.2710,1.0252,1.0252
28.6113,40.2710,1.0404,1.0404
28.5442,40.2710,1.0597,1.0597
28.4772,40.2710,1.0723,1.0723
28.4102,40.2710,1.0744,1.0744
28.3432,40.2040,1.0142,1.0142
28.2762,40.2040,1.0252,1.0252
28.2091,40.2040,1.0404,1.0404
28.1421,40.2040,1.0597,1.0597
28.0751,40.2040,1.0744,1.0744
28.0081,40.1369,1.0142,1.0142
27.9411,40.1369,1.0252,1.0252
27.8740,40.0699,0.9758,0.9758
27.8070,40.0699,0.9963,0.9963
27.7400,40.0699,1.0208,1.0208
27.6730,40.0699,1.0404,1.0404
27.6060,40.0699,1.0597,1.0597
27.5389,40.0029,1.0208,1.0208
27.4719,40.0029,1.0404,1.0404
27.4049,40.0029,1.0597,1.0597
27.3379,39.9359,1.0208,1.0208
27.2709,39.9359,1.0490,1.0490
27.2038,39.8689,1.0208,1.0208
27.1368,39.8689,1.0490,1.0490
27.0698,39.8689,1.0807,1.0807
27.0028,39.8018,1.0490,1.0490
26.9358,39.8018,1.0807,1.0807
26.8687,39.7348,1.0597,1.0597
26.8017,39.7348,1.0597,1.0597
26.7347,39.6678,1.0807,1.0807
26.6677,39.6008,1.0597,1.0597
26.6007,39.6008,1.0597,1.0597
26.5336,39.5338,1.0807,1.0807
26.4666,39.4667,1.0597,1.0597
26.3996,39.4667,1.0597,1.0597
26.3326,39.3997,1.0807,1.0807
26.2656,39.3327,1.0597,1.0597
26.1985,39.2657,1.0469,1.0469
26.1315,39.2657,1.0597,1.0597
26.0645,39.1987,1.0807,1.0807
25.9975,39.1316,1.0910,1.0910
25.9305,39.0646,1.0910,1.0910
25.8634,38.9976,1.0807,1.0807
25.7964,38.9306,1.0597,1.0597
25.7294,38.8636,1.0469,1.0469
25.6624,38.8636,1.0597,1.0597
25.5954,38.7965,1.0807,1.0807
25.5283,38.7295,1.0910,1.0910
25.4613,38.6625,1.0910,1.0910
25.3943,38.5955,1.0910,1.0910
25.3273,38.5285,1.0910,1.0910
25.2603,38.4614,1.0910,1.0910
25.1932,38.3944,1.0910,1.0910
25.1262,38.3274,1.0807,1.0807
25.0592,38.2604,1.0597,1.0597
24.9922,38.1934,1.0469,1.0469
24.9922,38.1263,1.0597,1.0597
24.9252,38.0593,1.0807,1.0807
24.8581,37.9923,1.0910,1.0910
24.7911,37.9253,1.0910,1.0910
24.7241,37.8583,1.0910,1.0910
24.6571,37.7912,1.0910,1.0910
24.5901,37.7242,1.0807,1.0807
24.5230,37.6572,1.0597,1.0597
24.4560,37.5902,1.0469,1.0469
24.4560,37.5232,1.0597,1.0597
24.3890,37.4561,1.0807,1.0807
24.3220,37.3891,1.0910,1.0910
24.2550,37.3221,1.0910,1.0910
24.1879,37.2551,1.0807,1.0807
24.1209,37.1881,1.0597,1.0597
24.0539,37.1210,1.0469,1.0469
24.0539,37.0540,1.0597,1.0597
23.9869,36.9870,1.0807,1.0807
23.9199,36.9200,1.0910,1.0910
23.8528,36.8530,1.0807,1.0807
23.7858,36.7859,1.0597,1.0597
23.7188,36.7189,1.0469,1.0469
23.7188,36.6519,1.0597,1.0597
23.6518,36.5849,1.0807,1.0807
23.5848,36.5179,1.0910,1.0910
23.5177,36.4508,1.0807,1.0807
23.4507,36.3838,1.0597,1.0597
23.3837,36.3168,1.0469,1.0469
23.3837,36.2498,1.0597,1.0597
23.3167,36.1828,1.0807,1.0807
23.2497,36.1157,1.0910,1.0910
23.1826,36.0487,1.0807,1.0807
23.1156,35.9817,1.0597,1.0597
23.0486,35.9147,1.0469,1.0469
23.0486,35.8477,1.0597,1.0597
22.9816,35.7806,1.0807,1.0807
22.9146,35.7136,1.0910,1.0910
22.8475,35.6466,1.0807,1.0807
22.7805,35.5796,1.0597,1.0597
22.7805,35.5126,1.0597,1.0597
22.7135,35.4455,1.0807,1.0807
22.6465,35.3785,1.0910,1.0910
22.5795,35.3115,1.0807,1.0807
22.5124,35.2445,1.0597,1.0597
22.4454,35.1775,1.0469,1.0469
22.4454,35.1104,1.0597,1.0597
22.3784,35.0434,1.0807,1.0807
22.3114,34.9764,1.0910,1.0910
22.2444,34.9094,1.0807,1.0807
22.1773,34.8424,1.0597,1.0597
22.1103,34.7753,1.0469,1.0469
22.1103,34.7083,1.0597,1.0597
22.0433,34.6413,1.0807,1.0807
21.9763,34.5743,1.0807,1.0807
21.9093,34.5073,1.0597,1.0597
21.8422,34.4402,1.0469,1.0469
21.8422,34.3732,1.0597,1.0597
21.7752,34.3062,1.0807,1.0807
21.7082,34.2392,1.0910,1.0910
21.6412,34.1722,1.0807,1.0807
21.5742,34.1051,1.0597,1.0597
21.5071,34.0381,1.0469,1.0469
21.5071,33.9711,1.0597,1.0597
21.4401,33.9041,1.0807,1.0807
21.3731,33.8371,1.0807,1.0807
21.3061,33.7700,1.0597,1.0597
21.2391,33.7030,1.0469,1.0469
21.2391,33.6360,1.0597,1.0597
21.1720,33.5690,1.0807,1.0807
21.1050,33.5020,1.0910,1.0910
21.0380,33.4349,1.0807,1.0807
20.9710,33.3679,1.0597,1.0597
20.9040,33.3009,1.0469,1.0469
20.9040,33.2339,1.0597,1.0597
20.8369,33.1669,1.0807,1.0807
20.7699,33.0998,1.0910,1.0910
20.7029,33.0328,1.0807,1.0807
20.6359,32.9658,1.0597,1.0597
20.6359,32.8988,1.0597,1.0597
20.5689,32.8318,1.0807,1.0807
20.5018,32.7647,1.0910,1.0910
20.4348,32.6977,1.0807,1.0807
20.3678,32.6307,1.0597,1.0597
20.3008,32.5637,1.0469,1.0469
20.3008,32.4967,1.0597,1.0597
20.2338,32.4296,1.0807,1.0807
20.1667,32.3626,1.0910,1.0910
20.0997,32.2956,1.0807,1.0807
20.0327,32.2286,1.0597,1.0597
19.9657,32.1616,1.0469,1.0469
19.9657,32.0945,1.0597,1.0597
19.8987,32.0275,1.0807,1.0807
19.8316,31.9605,1.0807,1.0807
19.7646,31.8935,1.0597,1.0597
19.6976,31.8265,1.0469,1.0469
19.6976,31.7594,1.0597,1.0597
19.6306,31.6924,1.0807,1.0807
19.5636,31.6254,1.0910,1.0910
19.4965,31.5584,1.0807,1.0807
19.4295,31.4914,1.0597,1.0597
19.3625,31.4243,1.0469,1.0469
19.3625,31.3573,1.0597,1.0597
19.2955,31.2903,1.0807,1.0807
19.2285,31.2233,1.0807,1.0807
19.1614,31.1563,1.0597,1.0597
19.0944,31.0892,1.0469,1.0469
19.0944,31.0222,1.0597,1.0597
19.0274,30.9552,1.0807,1.0807
18.9604,30.8882,1.0910,1.0910
18.8934,30.8212,1.0807,1.0807
18.8263,30.7541,1.0597,1.0597
18.7593,30.6871,1.0469,1.0469
18.7593,30.6201,1.0597,1.0597
18.6923,30.5531,1.0807,1.0807
18.6253,30.4861,1.0807,1.0807
18.5583,30.4190,1.0597,1.0597
18.4912,30.3520,1.0469,1.0469
18.4912,30.2850,1.0597,1.0597
18.4242,30.2180,1.0807,1.0807
18.3572,30.1510,1.0910,1.0910
18.2902,30.0839,1.0807,1.0807
18.2232,30.0169,1.0597,1.0597
18.1561,29.9499,1.0469,1.0469
18.1561,29.8829,1.0597,1.0597
18.0891,29.8159,1.0807,1.0807
18.0221,29.7488,1.0910,1.0910
17.9551,29.6818,1.0807,1.0807
17.8881,29.6148,1.0597,1.0597
17.8881,29.5478,1.0597,1.0597
17.8210,29.4808,1.0807,1.0807
17.7540,29.4137,1.0910,1.0910
17.6870,29.3467,1.0807,1.0807
17.6200,29.2797,1.0597,1.0597
17.5530,29.2127,1.0469,1.0469
17.5530,29.1457,1.0597,1.0597
17.4859,29.0786,1.0807,1.0807
17.4189,29.0116,1.0910,1.0910
17.3519,28.9446,1.0807,1.0807
17.2849,28.8776,1.0597,1.0597
17.2179,28.8106,1.0469,1.0469
17.2179,28.7435,1.0597,1.0597
17.1508,28.6765,1.0807,1.0807
17.0838,28.6095,1.0807,1.0807
17.0168,28.5425,1.0597,1.0597
16.9498,28.4755,1.0469,1.0469
16.9498,28.4084,1.0597,1.0597
16.8828,28.3414,1.0807,1.0807
16.8157,28.2744,1.0910,1.0910
16.7487,28.2074,1.0807,1.0807
16.6817,28.1404,1.0597,1.0597
16.6147,28.0733,1.0469,1.0469
16.6147,28.0063,1.0597,1.0597
16.5477,27.9393,1.0807,1.0807
16.4806,27.8723,1.0807,1.0807
16.4136,27.8053,1.0597,1.0597
16.3466,27.7382,1.0469,1.0469
16.3466,27.6712,1.0597,1.0597
16.2796,27.6042,1.0807,1.0807
16.2126,27.5372,1.0910,1.0910
16.1455,27.4702,1.0807,1.0807
16.0785,27.4031,1.0597,1.0597
16.0115,27.3361,1.0469,1.0469
16.0115,27.2691,1.0597,1.0597
15.9445,27.2021,1.0807,1.0807
15.8775,27.1351,1.0910,1.0910
15.8104,27.0680,1.0807,1.0807
15.7434,27.0010,1.0597,1.0597
15.6764,26.9340,1.0469,1.0469
15.6764,26.8670,1.0597,1.0597
15.6094,26.8000,1.0807,1.0807
15.5424,26.7329,1.0807,1.0807
15.4753,26.6659,1.0597,1.0597
15.4083,26.5989,1.0469,1.0469
15.4083,26.5319,1.0597,1.0597
15.3413,26.4649,1.0807,1.0807
