# x_m,y_m,w_tr_right_m,w_tr_left_m
-46.9112,11.4679,1.2630,1.2630
-46.8462,11.4028,1.2496,1.2496
-46.7811,11.3378,1.2428,1.2428
-46.7811,11.2727,1.2496,1.2496
-46.7161,11.2077,1.2630,1.2630
-46.6510,11.1426,1.2830,1.2830
-46.5860,11.0776,1.2630,1.2630
-46.5209,11.0125,1.2496,1.2496
-46.4559,10.9475,1.2428,1.2428
-46.4559,10.8824,1.2496,1.2496
-46.3908,10.8174,1.2630,1.2630
-46.3258,10.7523,1.2830,1.2830
-46.2607,10.6873,1.2630,1.2630
-46.1957,10.6222,1.2496,1.2496
-46.1306,10.5572,1.2428,1.2428
-46.1306,10.4921,1.2496,1.2496
-46.0656,10.4271,1.2630,1.2630
-46.0005,10.3620,1.2830,1.2830
-45.9355,10.2970,1.2630,1.2630
-45.8704,10.2319,1.2496,1.2496
-45.8054,10.1669,1.2428,1.2428
-45.8054,10.1018,1.2496,1.2496
-45.7403,10.0368,1.2630,1.2630
-45.6753,9.9717,1.2830,1.2830
-45.6102,9.9067,1.2630,1.2630
-45.5452,9.8416,1.2496,1.2496
-45.4801,9.7766,1.2428,1.2428
-45.4801,9.7115,1.2496,1.2496
-45.4151,9.6465,1.2630,1.2630
-45.3500,9.5814,1.2830,1.2830
-45.2850,9.5164,1.2630,1.2630
-45.2199,9.4513,1.2496,1.2496
-45.1549,9.3863,1.2428,1.2428
-45.1549,9.3212,1.2496,1.2496
-45.0898,9.2562,1.2630,1.2630
-45.0248,9.1911,1.2830,1.2830
-44.9597,9.1261,1.2630,1.2630
-44.8947,9.0610,1.2496,1.2496
-44.8296,8.9960,1.2428,1.2428
-44.8296,8.9309,1.2496,1.2496
-44.7646,8.8659,1.2630,1.2630
-44.6995,8.8008,1.2830,1.2830
-44.6345,8.7358,1.2630,1.2630
-44.5694,8.6707,1.2496,1.2496
-44.5044,8.6057,1.2428,1.2428
-44.4393,8.5406,1.2428,1.2428
-44.4393,8.4756,1.2496,1.2496
-44.3743,8.4105,1.2630,1.2630
-44.3092,8.3455,1.2830,1.2830
-44.2442,8.2804,1.2630,1.2630
-44.1791,8.2154,1.2496,1.2496
-44.1141,8.1503,1.2428,1.2428
-44.1141,8.0853,1.2496,1.2496
-44.0490,8.0202,1.2630,1.2630
-43.9840,7.9552,1.2830,1.2830
-43.9189,7.8901,1.2630,1.2630
-43.8539,7.8251,1.2496,1.2496
-43.7888,7.7600,1.2428,1.2428
-43.7888,7.6950,1.2496,1.2496
-43.7238,7.6299,1.2630,1.2630
-43.6587,7.5649,1.2830,1.2830
-43.5937,7.4998,1.2630,1.2630
-43.5286,7.4348,1.2496,1.2496
-43.4636,7.3697,1.2428,1.2428
-43.4636,7.3047,1.2496,1.2496
-43.3985,7.2396,1.2630,1.2630
-43.3335,7.1746,1.2830,1.2830
-43.2684,7.1095,1.2630,1.2630
-43.2034,7.0445,1.2496,1.2496
-43.1383,6.9794,1.2428,1.2428
-43.0733,6.9144,1.2428,1.2428
-43.0733,6.8493,1.2496,1.2496
-43.0082,6.7843,1.2630,1.2630
-42.9432,6.7192,1.2830,1.2830
-42.8781,6.6542,1.2630,1.2630
-42.8131,6.5891,1.2496,1.2496
-42.7480,6.5241,1.2428,1.2428
-42.7480,6.4590,1.2496,1.2496
-42.6830,6.3940,1.2630,1.2630
-42.6179,6.3289,1.2630,1.2630
-42.5529,6.2639,1.2496,1.2496
-42.4878,6.1988,1.2428,1.2428
-42.4878,6.1338,1.2496,1.2496
-42.4228,6.0687,1.2630,1.2630
-42.3577,6.0037,1.2830,1.2830
-42.2927,5.9386,1.2630,1.2630
-42.2276,5.8736,1.2496,1.2496
-42.1626,5.8085,1.2428,1.2428
-42.1626,5.7435,1.2496,1.2496
-42.0975,5.6784,1.2630,1.2630
-42.0325,5.6134,1.2630,1.2630
-41.9674,5.5483,1.2496,1.2496
-41.9674,5.4833,1.2496,1.2496
-41.9024,5.4182,1.2630,1.2630
-41.8373,5.3532,1.2630,1.2630
-41.7723,5.2881,1.2496,1.2496
-41.7072,5.2231,1.2428,1.2428
-41.7072,5.1580,1.2496,1.2496
-41.6422,5.0930,1.2630,1.2630
-41.5771,5.0279,1.2630,1.2630
-41.5121,4.9629,1.2496,1.2496
-41.5121,4.8978,1.2496,1.2496
-41.4470,4.8328,1.2630,1.2630
-41.3820,4.7677,1.2496,1.2496
-41.3820,4.7027,1.2496,1.2496
-41.3169,4.6376,1.2630,1.2630
-41.2519,4.5726,1.2513,1.2513
-41.2519,4.5075,1.2513,1.2513
-41.1868,4.4425,1.2630,1.2630
-41.1868,4.3774,1.2513,1.2513
-41.1218,4.3124,1.2780,1.2780
-41.1218,4.2473,1.2513,1.2513
-41.0567,4.1823,1.2563,1.2563
-41.0567,4.1172,1.2513,1.2513
-41.0567,4.0522,1.2222,1.2222
-40.9917,3.9871,1.2563,1.2563
-40.9917,3.9221,1.2342,1.2342
-40.9917,3.8570,1.2152,1.2152
-40.9266,3.7920,1.2563,1.2563
-40.9266,3.7269,1.2342,1.2342
-40.9266,3.6619,1.2152,1.2152
-40.8616,3.5968,1.2563,1.2563
-40.8616,3.5318,1.2342,1.2342
-40.8616,3.4667,1.2152,1.2152
-40.7965,3.4017,1.2563,1.2563
-40.7965,3.3366,1.2342,1.2342
-40.7965,3.2716,1.2152,1.2152
-40.7315,3.2065,1.2630,1.2630
-40.7315,3.1415,1.2513,1.2513
-40.7315,3.0764,1.2342,1.2342
-40.7315,3.0114,1.2152,1.2152
-40.6664,2.9463,1.2630,1.2630
-40.6664,2.8813,1.2513,1.2513
